question_id,language,is_answered,tags,title,answer_count,creation_date,score,link,view_count,user_id,reputation,user_type,display_name
39763512,mysql,False,mysql|database|rows,SQL update within a table,2,1475132453,-2,http://stackoverflow.com/questions/39763512/sql-update-within-a-table,12,4470097,12,registered,user9527
39763700,mysql,False,mysql|spring|spring-jdbc,SimpleJDBCCall handle out paramater with resultset,0,1475133078,0,http://stackoverflow.com/questions/39763700/simplejdbccall-handle-out-paramater-with-resultset,5,3401341,22,registered,CHiRAG
39762883,mysql,True,php|mysql,if else condition is not run properlly,2,1475130421,-1,http://stackoverflow.com/questions/39762883/if-else-condition-is-not-run-properlly,25,6812089,5,registered,Muhammad Usman
39763607,mysql,False,mysql|sql|database|optimization,MYSQL find field value that where never recorder previously,2,1475132753,0,http://stackoverflow.com/questions/39763607/mysql-find-field-value-that-where-never-recorder-previously,9,2144756,125,registered,Alex Kubity
39763669,mysql,False,mysql,MySQL Recurring event stops working,0,1475132980,0,http://stackoverflow.com/questions/39763669/mysql-recurring-event-stops-working,10,1967800,975,registered,Sharcoux
39763502,mysql,False,mysql|sql|python-2.7,syntax error on mysql query to update in python,1,1475132430,0,http://stackoverflow.com/questions/39763502/syntax-error-on-mysql-query-to-update-in-python,5,6781625,3,registered,Edison
39762752,mysql,False,c#|mysql|sql|asp.net,Compare two input dates with another two dates in the table in SQL Server,4,1475129881,0,http://stackoverflow.com/questions/39762752/compare-two-input-dates-with-another-two-dates-in-the-table-in-sql-server,22,5985222,3,registered,saravanan
18759528,mysql,True,php|mysql|wordpress|wpdb,Call to a member function query() on a non-object WordPress,3,1378975515,0,http://stackoverflow.com/questions/18759528/call-to-a-member-function-query-on-a-non-object-wordpress,5904,1665625,340,registered,lukeseager
39763622,mysql,False,mysql|triggers|gammu,MySQL Trigger Error - Autoreply for Gammu SMS-Gateway,0,1475132808,0,http://stackoverflow.com/questions/39763622/mysql-trigger-error-autoreply-for-gammu-sms-gateway,4,6897858,1,registered,Novri Rizky
39763620,mysql,False,python|mysql|django|django-models|django-orm,How to query using GenericForeignKey in Django model,0,1475132793,0,http://stackoverflow.com/questions/39763620/how-to-query-using-genericforeignkey-in-django-model,6,1811894,3,registered,dilwaria
39762404,mysql,False,mysql|hibernate|transactions|atomikos,MySQL: Deadlock found when trying to get lock,1,1475128427,1,http://stackoverflow.com/questions/39762404/mysql-deadlock-found-when-trying-to-get-lock,9,543320,246,registered,yaki_nuka
39763564,mysql,False,mysql|postgresql,Query works fine in MySQL but not in Postgresql,0,1475132601,0,http://stackoverflow.com/questions/39763564/query-works-fine-in-mysql-but-not-in-postgresql,10,6891767,1,registered,Gunnar
39763432,mysql,False,mysql|sql|mariadb,MySQL trigger not updating multiple rows when WHERE IN used,1,1475132198,0,http://stackoverflow.com/questions/39763432/mysql-trigger-not-updating-multiple-rows-when-where-in-used,5,3989214,104,registered,Rahul Gavande
39738032,mysql,False,mysql,Fetch data from three tables according to some conditions,1,1475036726,-2,http://stackoverflow.com/questions/39738032/fetch-data-from-three-tables-according-to-some-conditions,29,6803154,1,registered,Aditi
39763528,mysql,False,javascript|mysql,Table sort order,0,1475132512,0,http://stackoverflow.com/questions/39763528/table-sort-order,19,3155527,76,registered,gosi123
39763499,mysql,False,php|mysql|date|datetime|select,Find the first second timestamp of current month given a day,0,1475132420,0,http://stackoverflow.com/questions/39763499/find-the-first-second-timestamp-of-current-month-given-a-day,10,5277185,371,registered,dios231
39756859,mysql,False,mysql|windows|mysql-workbench,MySQL remote connection to Linux,1,1475093725,1,http://stackoverflow.com/questions/39756859/mysql-remote-connection-to-linux,22,6895914,6,registered,Michael Max
39763247,mysql,True,mysql|sql|pivot,MySQL check if given timeslot is in between provided timeslot,1,1475131616,0,http://stackoverflow.com/questions/39763247/mysql-check-if-given-timeslot-is-in-between-provided-timeslot,20,1228266,1477,registered,Dev
39763438,mysql,False,mysql|serialization,Syntax error at inserting a serialized string,0,1475132224,0,http://stackoverflow.com/questions/39763438/syntax-error-at-inserting-a-serialized-string,9,6897770,1,registered,user6897770
39763345,mysql,False,mysql|database|dataset|mysql-workbench|data-extraction,Extract Rows with Values &gt;100 in a Variable Showing All Columns on MySQL Workbench,1,1475131921,0,http://stackoverflow.com/questions/39763345/extract-rows-with-values-100-in-a-variable-showing-all-columns-on-mysql-workben,5,6772794,5,registered,Harshna
39763382,mysql,False,java|mysql|hibernate|exception|truncate,Hibernate Data truncated for column,0,1475132029,0,http://stackoverflow.com/questions/39763382/hibernate-data-truncated-for-column,8,6841661,3,registered,User1v0
39757168,mysql,False,mysql|sql|sql-limit,"SQL query doesn&#39;t work, probably because of wrong combination",0,1475094873,-4,http://stackoverflow.com/questions/39757168/sql-query-doesnt-work-probably-because-of-wrong-combination,26,2010080,1,registered,Johan Engman
39763242,mysql,False,php|mysql|sql|pdo|error-handling,How to handle PDO transaction errors to inform to the client the result of it?,0,1475131606,0,http://stackoverflow.com/questions/39763242/how-to-handle-pdo-transaction-errors-to-inform-to-the-client-the-result-of-it,7,6106620,85,registered,Cristian Crishk
39763346,mysql,False,mysql|select|table|join,mysql multiple statement diffrent tables,0,1475131930,-1,http://stackoverflow.com/questions/39763346/mysql-multiple-statement-diffrent-tables,11,6897724,1,registered,twister
39695866,mysql,True,mysql|heidisql,Mysql database backup by using query,1,1474870722,-1,http://stackoverflow.com/questions/39695866/mysql-database-backup-by-using-query,24,6721558,5,registered,Kanika
39343095,mysql,False,mysql|node.js,Where to store SQL commands for execution,1,1473147176,1,http://stackoverflow.com/questions/39343095/where-to-store-sql-commands-for-execution,39,2709980,324,registered,m4mbax
39762563,mysql,False,mysql|sql|pivot,MySQL Pivot query issue while converting row to column,0,1475129145,0,http://stackoverflow.com/questions/39762563/mysql-pivot-query-issue-while-converting-row-to-column,9,6897605,1,registered,Himani
39760899,mysql,False,php|mysql|laravel|checkbox|laravel-blade,Cannot retrieve data via checkbox in laravel,1,1475119387,-2,http://stackoverflow.com/questions/39760899/cannot-retrieve-data-via-checkbox-in-laravel,26,6897130,1,registered,Jahid Mahmud
39719294,mysql,True,mysql|mysql-workbench,Transpose two rows into single row (mySql),3,1474963358,1,http://stackoverflow.com/questions/39719294/transpose-two-rows-into-single-row-mysql,31,4939357,66,registered,Ferguson
39763143,mysql,False,mysql|csv|cron,Please help - PHP &amp; Cron syntax issues,0,1475131269,0,http://stackoverflow.com/questions/39763143/please-help-php-cron-syntax-issues,7,699766,11,registered,Rick
39749913,mysql,False,mysql|doctrine2|associations|symfony3|cascading-deletes,Symfony3 : on delete cascade with 3 levels don&#39;t work (2 entities),0,1475071599,1,http://stackoverflow.com/questions/39749913/symfony3-on-delete-cascade-with-3-levels-dont-work-2-entities,12,6154476,39,registered,Felurian
39760999,mysql,False,mysql|apache|phpmyadmin|jmeter|localhost,Recording Controller in Jmeter not recording in a localhost web server,2,1475120199,0,http://stackoverflow.com/questions/39760999/recording-controller-in-jmeter-not-recording-in-a-localhost-web-server,15,6891663,1,registered,julyxx
39706159,mysql,False,android|mysql|textview|load,I&#39;m trying to load data from mysql in textview,2,1474902033,0,http://stackoverflow.com/questions/39706159/im-trying-to-load-data-from-mysql-in-textview,24,6310208,1,registered,Amine
39762138,mysql,False,mysql|sql|transactions,Mysql Connection has not been null after committing transaction,0,1475127189,1,http://stackoverflow.com/questions/39762138/mysql-connection-has-not-been-null-after-committing-transaction,7,6519829,16,registered,NiKhil Kutewalla
39761839,mysql,False,php|jquery|mysql|sql|datatables,Run MySQL query in DataTables server-side processing script,1,1475125737,0,http://stackoverflow.com/questions/39761839/run-mysql-query-in-datatables-server-side-processing-script,16,6242161,120,registered,Liz Banach
39762818,mysql,True,java|mysql|vector,2D vectors in java getting vague output in java,1,1475130149,0,http://stackoverflow.com/questions/39762818/2d-vectors-in-java-getting-vague-output-in-java,11,6744806,16,registered,prateek k
39762605,mysql,False,php|android|mysql|localhost|wampserver,Adding data into Mysql database on localhost,2,1475129300,-3,http://stackoverflow.com/questions/39762605/adding-data-into-mysql-database-on-localhost,20,5338156,1,registered,Odey M. Khalaf
